"Dia","m05","m10","m15","h01","h04","h24","h96","Estacao","estacao_id"
2009-02-18 00:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-18 00:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-18 00:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-18 00:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 23:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 23:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 23:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 23:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 22:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 22:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 22:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 22:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 21:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 21:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 21:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 21:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 20:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 20:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 20:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 20:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,8.8,Jacarepaguá/Tanque,14
2009-02-17 19:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.0,Jacarepaguá/Tanque,14
2009-02-17 19:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.2,Jacarepaguá/Tanque,14
2009-02-17 19:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.2,Jacarepaguá/Tanque,14
2009-02-17 19:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.2,Jacarepaguá/Tanque,14
2009-02-17 18:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 18:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 18:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 18:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 17:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 17:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 17:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 17:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
2009-02-17 16:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,9.4,Jacarepaguá/Tanque,14
